date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",930.00,930.00,930.00,930.00,0.0,3.91%
"Mar 29, 2022",895.00,895.00,895.00,895.00,190.0,-0.96%
"Mar 28, 2022",903.70,902.00,940.00,887.10,590.0,1.61%
"Mar 27, 2022",889.40,880.60,900.00,880.60,70.0,-0.70%
"Mar 24, 2022",895.70,895.00,898.00,888.80,180.0,0.10%
"Mar 23, 2022",894.80,920.00,920.00,890.20,620.0,0.51%
"Mar 22, 2022",890.30,915.90,915.90,889.20,1480.0,-1.37%
"Mar 21, 2022",902.70,889.90,905.00,889.90,550.0,2.09%
"Mar 20, 2022",884.20,884.10,884.30,884.10,160.0,-0.45%
"Mar 16, 2022",888.20,886.30,899.00,885.00,1120.0,-0.65%
"Mar 15, 2022",894.00,892.00,908.00,891.10,790.0,0.15%
"Mar 14, 2022",892.70,886.00,913.90,886.00,1130.0,-1.03%
"Mar 13, 2022",902.00,888.00,913.90,888.00,1150.0,0.88%
"Mar 10, 2022",894.10,890.00,900.00,888.00,1360.0,-0.35%
"Mar 09, 2022",897.20,870.00,900.00,869.00,900.0,2.96%
"Mar 08, 2022",871.40,878.20,897.00,860.10,1460.0,-0.77%
"Mar 07, 2022",878.20,896.00,896.00,860.10,590.0,-1.98%
"Mar 06, 2022",895.90,900.90,900.90,895.50,120.0,-0.56%
"Mar 03, 2022",900.90,904.00,914.80,897.00,300.0,0.46%
