date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",49.90,50.30,50.30,49.90,104360.0,-0.40%
"Mar 29, 2022",50.10,50.00,50.40,49.80,573840.0,0.40%
"Mar 28, 2022",49.90,50.40,50.60,49.60,734640.0,-0.80%
"Mar 27, 2022",50.30,49.80,50.50,49.00,334850.0,0.60%
"Mar 24, 2022",50.00,50.20,50.30,49.80,1440000.0,-0.20%
"Mar 23, 2022",50.10,50.10,50.70,49.90,519650.0,0.20%
"Mar 22, 2022",50.00,49.40,50.10,49.40,2020000.0,1.21%
"Mar 21, 2022",49.40,49.00,49.90,48.50,1110000.0,0.00%
"Mar 20, 2022",49.40,49.50,49.70,49.20,396840.0,-0.60%
"Mar 16, 2022",49.70,48.40,50.50,47.80,1730000.0,2.69%
"Mar 15, 2022",48.40,49.00,49.00,48.20,1560000.0,-1.22%
"Mar 14, 2022",49.00,49.40,49.70,48.50,2040000.0,-0.81%
"Mar 13, 2022",49.40,48.90,49.70,48.80,340980.0,1.65%
"Mar 10, 2022",48.60,48.70,50.80,48.20,1400000.0,0.41%
"Mar 09, 2022",48.40,49.20,49.90,48.10,2730000.0,-0.62%
"Mar 08, 2022",48.70,52.00,52.00,48.00,2130000.0,-4.51%
"Mar 07, 2022",51.00,51.00,52.30,50.40,551660.0,-1.73%
"Mar 06, 2022",51.90,51.40,52.30,51.00,169820.0,0.97%
"Mar 03, 2022",51.40,52.80,52.80,49.00,1580000.0,-0.19%
