date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",106.70,108.00,108.00,106.60,59570.0,-1.39%
"Mar 29, 2022",108.20,109.20,110.40,108.10,166850.0,-0.64%
"Mar 28, 2022",108.90,106.50,109.30,106.50,339310.0,2.74%
"Mar 27, 2022",106.00,104.80,106.30,104.00,152680.0,2.51%
"Mar 24, 2022",103.40,104.80,105.00,103.20,112950.0,-1.15%
"Mar 23, 2022",104.60,105.00,105.00,104.40,54190.0,0.48%
"Mar 22, 2022",104.10,103.00,104.50,103.00,168470.0,1.07%
"Mar 21, 2022",103.00,103.00,104.70,102.80,80500.0,-1.44%
"Mar 20, 2022",104.50,106.60,106.60,104.50,78930.0,-1.97%
"Mar 16, 2022",106.60,107.00,107.00,104.90,144100.0,-0.37%
"Mar 15, 2022",107.00,108.00,108.10,106.50,93100.0,-1.38%
"Mar 14, 2022",108.50,105.90,109.90,104.60,351990.0,3.14%
"Mar 13, 2022",105.20,104.30,105.50,102.30,82170.0,2.04%
"Mar 10, 2022",103.10,102.30,105.40,101.10,55880.0,0.78%
"Mar 09, 2022",102.30,100.00,103.00,100.00,58440.0,2.40%
"Mar 08, 2022",99.90,98.10,101.00,95.00,85840.0,1.52%
"Mar 07, 2022",98.40,102.20,102.30,98.20,112760.0,-1.40%
"Mar 06, 2022",99.80,101.10,101.10,99.60,61590.0,-1.19%
"Mar 03, 2022",101.00,100.10,101.70,98.30,198310.0,0.30%
