date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",75.30,75.20,75.30,75.10,14830.0,0.40%
"Mar 29, 2022",75.00,76.00,76.90,74.80,244430.0,-1.06%
"Mar 28, 2022",75.80,75.00,76.00,74.70,266220.0,1.07%
"Mar 27, 2022",75.00,73.50,75.60,73.50,269760.0,1.63%
"Mar 24, 2022",73.80,73.70,74.00,73.50,99740.0,0.14%
"Mar 23, 2022",73.70,73.50,74.10,73.20,57860.0,0.55%
"Mar 22, 2022",73.30,73.40,73.50,72.90,104730.0,1.52%
"Mar 21, 2022",72.20,72.60,73.30,72.00,78720.0,-1.10%
"Mar 20, 2022",73.00,74.70,74.70,72.70,50140.0,-1.08%
"Mar 16, 2022",73.80,74.30,74.50,73.60,45560.0,-0.54%
"Mar 15, 2022",74.20,74.40,74.40,73.80,32940.0,-0.27%
"Mar 14, 2022",74.40,74.10,74.70,73.80,42870.0,0.40%
"Mar 13, 2022",74.10,73.30,74.60,72.40,53780.0,2.63%
"Mar 10, 2022",72.20,72.70,75.00,71.20,133790.0,0.84%
"Mar 09, 2022",71.60,69.00,72.00,69.00,100390.0,4.37%
"Mar 08, 2022",68.60,69.00,69.50,66.00,110180.0,0.44%
"Mar 07, 2022",68.30,70.90,71.30,68.20,83900.0,-3.67%
"Mar 06, 2022",70.90,71.20,72.50,70.80,37900.0,-0.28%
"Mar 03, 2022",71.10,71.80,71.80,70.90,211980.0,-0.97%
