date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",177.50,179.50,179.50,176.50,133950.0,0.11%
"Mar 29, 2022",177.30,178.10,179.90,177.00,288860.0,-0.39%
"Mar 28, 2022",178.00,182.00,182.90,177.50,544780.0,-1.71%
"Mar 27, 2022",181.10,182.90,183.00,180.70,133720.0,-0.66%
"Mar 24, 2022",182.30,183.00,184.00,181.30,731150.0,-0.44%
"Mar 23, 2022",183.10,186.30,188.10,182.60,259700.0,-1.08%
"Mar 22, 2022",185.10,180.60,187.90,179.30,611000.0,3.18%
"Mar 21, 2022",179.40,177.90,180.20,177.60,156400.0,0.84%
"Mar 20, 2022",177.90,181.80,182.30,177.10,270940.0,0.00%
"Mar 16, 2022",177.90,181.70,181.70,177.40,193930.0,-0.61%
"Mar 15, 2022",179.00,178.80,180.80,178.30,218570.0,0.22%
"Mar 14, 2022",178.60,182.00,182.00,177.80,294040.0,-1.49%
"Mar 13, 2022",181.30,179.80,182.40,178.70,226710.0,1.74%
"Mar 10, 2022",178.20,180.90,182.20,176.40,405910.0,-0.28%
"Mar 09, 2022",178.70,181.80,184.70,177.70,507760.0,0.68%
"Mar 08, 2022",177.50,176.70,179.90,170.50,536300.0,0.74%
"Mar 07, 2022",176.20,183.00,183.00,175.50,498230.0,-4.13%
"Mar 06, 2022",183.80,186.00,188.00,182.80,319950.0,-1.39%
"Mar 03, 2022",186.40,186.30,187.00,185.00,185630.0,-0.37%
