date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",26.00,26.10,26.10,26.00,11000.0,-0.38%
"Mar 29, 2022",26.10,26.10,26.30,26.00,300230.0,0.00%
"Mar 28, 2022",26.10,26.20,26.30,26.00,599420.0,0.00%
"Mar 27, 2022",26.10,26.30,26.40,26.00,475590.0,-1.14%
"Mar 24, 2022",26.40,26.40,26.50,26.00,235590.0,0.00%
"Mar 23, 2022",26.40,26.70,26.70,26.30,161950.0,-0.38%
"Mar 22, 2022",26.50,26.40,26.80,26.30,188860.0,0.38%
"Mar 21, 2022",26.40,26.20,26.50,26.00,370160.0,0.00%
"Mar 20, 2022",26.40,26.80,26.80,26.40,177070.0,-0.75%
"Mar 16, 2022",26.60,26.60,26.90,26.40,305380.0,-0.37%
"Mar 15, 2022",26.70,26.90,27.30,26.50,299110.0,-0.74%
"Mar 14, 2022",26.90,26.70,27.50,26.30,415630.0,1.89%
"Mar 13, 2022",26.40,26.40,26.50,26.20,192390.0,1.15%
"Mar 10, 2022",26.10,26.20,26.90,26.00,467640.0,0.38%
"Mar 09, 2022",26.00,25.90,26.10,25.70,158700.0,1.56%
"Mar 08, 2022",25.60,25.60,25.90,25.30,610410.0,-0.39%
"Mar 07, 2022",25.70,25.80,26.00,25.60,674840.0,-0.39%
"Mar 06, 2022",25.80,25.90,26.30,25.80,486090.0,-1.15%
"Mar 03, 2022",26.10,26.30,27.20,25.90,1030000.0,-0.38%
