date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",156.90,156.00,158.00,155.60,166000.0,0.71%
"Mar 29, 2022",155.80,154.00,156.70,152.70,298770.0,2.70%
"Mar 28, 2022",151.70,152.90,155.90,151.10,380640.0,-1.49%
"Mar 27, 2022",154.00,157.10,157.10,154.00,244510.0,-1.97%
"Mar 24, 2022",157.10,157.00,158.40,154.40,1030000.0,0.51%
"Mar 23, 2022",156.30,150.20,160.90,150.20,1220000.0,6.54%
"Mar 22, 2022",146.70,146.90,147.20,145.10,198390.0,1.52%
"Mar 21, 2022",144.50,147.10,148.10,144.00,113690.0,-1.63%
"Mar 20, 2022",146.90,150.60,150.70,146.80,229070.0,-1.87%
"Mar 16, 2022",149.70,150.90,151.00,148.50,242850.0,0.60%
"Mar 15, 2022",148.80,151.70,151.70,148.20,483860.0,-1.46%
"Mar 14, 2022",151.00,148.70,152.00,147.50,312450.0,2.10%
"Mar 13, 2022",147.90,152.90,153.90,146.90,775420.0,-1.27%
"Mar 10, 2022",149.80,152.60,157.20,148.60,878250.0,-1.19%
"Mar 09, 2022",151.60,146.90,152.50,143.70,399280.0,5.79%
"Mar 08, 2022",143.30,143.10,145.90,138.40,418710.0,1.49%
"Mar 07, 2022",141.20,151.30,151.30,140.00,773130.0,-5.74%
"Mar 06, 2022",149.80,155.20,157.00,149.10,320100.0,-3.04%
"Mar 03, 2022",154.50,153.70,159.40,152.50,2009999.9999999998,0.59%
