date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",277.90,279.20,279.30,277.90,430.0,-0.47%
"Mar 29, 2022",279.20,278.90,279.70,276.70,3350.0,0.36%
"Mar 28, 2022",278.20,273.00,279.00,272.50,3900.0,1.53%
"Mar 27, 2022",274.00,276.00,276.00,270.00,2590.0,1.33%
"Mar 24, 2022",270.40,271.10,272.20,270.00,3260.0,-0.26%
"Mar 23, 2022",271.10,271.00,275.00,271.00,6660.0,-1.67%
"Mar 22, 2022",275.70,268.00,277.00,268.00,7810.0,1.96%
"Mar 21, 2022",270.40,267.00,272.00,265.00,6860.0,0.33%
"Mar 20, 2022",269.50,270.50,271.20,268.80,4960.0,-1.14%
"Mar 16, 2022",272.60,289.00,289.00,270.20,5930.0,0.33%
"Mar 15, 2022",271.70,276.40,276.40,270.00,13920.0,0.07%
"Mar 14, 2022",271.50,279.00,279.00,271.00,12180.0,-0.91%
"Mar 13, 2022",274.00,276.00,277.00,273.00,14500.0,-0.65%
"Mar 10, 2022",275.80,280.10,280.10,275.10,4130.0,-1.50%
"Mar 09, 2022",280.00,282.00,282.00,275.80,7030.0,0.72%
"Mar 08, 2022",278.00,265.00,285.00,263.00,5230.0,3.62%
"Mar 07, 2022",268.30,280.20,280.20,265.10,10030.0,-4.21%
"Mar 06, 2022",280.10,280.00,282.00,280.00,1100.0,-1.06%
"Mar 03, 2022",283.10,276.00,285.90,271.00,2710.0,1.65%
