date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",51.70,52.00,52.00,51.50,40900.0,-0.77%
"Mar 29, 2022",52.10,51.10,52.50,51.00,231230.0,1.56%
"Mar 28, 2022",51.30,51.30,51.50,51.00,64430.00000000001,0.00%
"Mar 27, 2022",51.30,51.90,51.90,51.00,73540.0,-0.58%
"Mar 24, 2022",51.60,51.40,51.80,51.00,90190.0,0.98%
"Mar 23, 2022",51.10,51.80,51.90,51.00,152380.0,-0.78%
"Mar 22, 2022",51.50,51.30,51.70,51.20,116700.0,0.98%
"Mar 21, 2022",51.00,51.30,51.40,50.60,181900.0,-1.16%
"Mar 20, 2022",51.60,52.10,52.10,51.10,185120.0,-0.96%
"Mar 16, 2022",52.10,52.30,52.70,51.50,174640.0,-0.76%
"Mar 15, 2022",52.50,52.50,52.80,52.00,400770.0,0.00%
"Mar 14, 2022",52.50,52.10,52.70,51.90,458200.0,0.77%
"Mar 13, 2022",52.10,51.00,52.70,51.00,287580.0,2.56%
"Mar 10, 2022",50.80,51.00,51.90,50.50,733400.0,0.20%
"Mar 09, 2022",50.70,52.00,52.00,50.10,1140000.0,-4.88%
"Mar 07, 2022",53.30,55.00,55.10,53.10,414360.0,-3.09%
"Mar 06, 2022",55.00,55.10,55.70,54.80,232880.0,-0.18%
"Mar 03, 2022",55.10,55.50,55.90,54.40,375520.0,-0.54%
