date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",32.70,32.50,32.70,32.50,18940.0,-0.30%
"Mar 29, 2022",32.80,32.50,32.80,32.50,110410.0,0.92%
"Mar 28, 2022",32.50,32.50,32.60,32.50,69270.0,0.00%
"Mar 27, 2022",32.50,32.50,32.60,32.50,55680.0,0.00%
"Mar 24, 2022",32.50,32.50,32.60,32.50,555620.0,0.00%
"Mar 23, 2022",32.50,32.50,32.60,32.40,331440.0,0.00%
"Mar 22, 2022",32.50,32.40,32.60,32.40,50850.0,0.00%
"Mar 21, 2022",32.50,32.50,32.50,32.50,138170.0,0.00%
"Mar 20, 2022",32.50,32.50,32.60,32.50,114100.0,0.00%
"Mar 16, 2022",32.50,32.50,32.60,32.50,75780.0,0.00%
"Mar 15, 2022",32.50,32.50,32.60,32.50,77460.0,0.00%
"Mar 14, 2022",32.50,32.50,32.60,32.40,461130.0,-0.31%
"Mar 13, 2022",32.60,32.60,32.80,32.50,41050.0,0.00%
"Mar 10, 2022",32.60,32.40,32.70,32.40,101110.0,0.31%
"Mar 09, 2022",32.50,32.50,32.60,32.40,132460.0,0.00%
"Mar 08, 2022",32.50,32.40,32.50,32.30,417260.0,0.00%
"Mar 07, 2022",32.50,32.40,32.60,32.30,529040.0,0.00%
"Mar 06, 2022",32.50,32.50,32.60,32.40,130280.0,0.00%
"Mar 03, 2022",32.50,32.50,32.50,32.40,312680.0,0.00%
