date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",164.00,163.40,164.00,163.40,80.0,0.37%
"Mar 29, 2022",163.40,165.00,165.00,163.40,4930.0,-0.91%
"Mar 28, 2022",164.90,163.20,165.00,163.20,11550.0,0.73%
"Mar 27, 2022",163.70,163.20,164.00,162.90,4950.0,0.37%
"Mar 24, 2022",163.10,162.20,165.00,162.00,9530.0,0.06%
"Mar 23, 2022",163.00,164.60,164.60,162.70,13290.0,0.31%
"Mar 22, 2022",162.50,163.70,163.70,161.90,35760.0,0.12%
"Mar 21, 2022",162.30,162.50,162.90,161.90,11490.0,-0.37%
"Mar 20, 2022",162.90,164.00,164.00,161.50,15570.0,-0.97%
"Mar 16, 2022",164.50,164.40,165.50,164.40,16260.000000000002,0.06%
"Mar 15, 2022",164.40,164.70,165.70,164.00,7170.0,0.00%
"Mar 14, 2022",164.40,165.90,165.90,162.60,3460.0,1.48%
"Mar 13, 2022",162.00,162.30,164.70,160.40,6250.0,-0.49%
"Mar 10, 2022",162.80,163.00,164.00,162.00,2440.0,0.62%
"Mar 09, 2022",161.80,162.00,165.00,160.00,6720.0,0.56%
"Mar 08, 2022",160.90,161.10,161.90,155.40,8880.0,-0.12%
"Mar 07, 2022",161.10,165.80,165.80,159.30,18560.0,-2.54%
"Mar 06, 2022",165.30,165.10,166.00,165.10,5190.0,-0.66%
"Mar 03, 2022",166.40,168.50,168.50,165.10,13330.0,-0.83%
