date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",88.30,88.20,88.50,88.20,1600.0,0.00%
"Mar 29, 2022",88.30,87.70,89.90,87.70,42460.0,-0.23%
"Mar 28, 2022",88.50,87.70,88.90,87.70,14120.0,0.34%
"Mar 27, 2022",88.20,88.40,88.40,87.60,20930.0,-0.23%
"Mar 24, 2022",88.40,87.20,88.70,87.20,24710.0,1.03%
"Mar 23, 2022",87.50,88.30,88.80,87.10,15270.0,-0.91%
"Mar 22, 2022",88.30,87.50,88.50,87.50,11660.0,0.91%
"Mar 21, 2022",87.50,87.10,88.70,87.10,21390.0,-0.79%
"Mar 20, 2022",88.20,88.00,88.50,87.20,15570.0,-0.23%
"Mar 16, 2022",88.40,88.20,89.40,87.80,15980.0,-0.79%
"Mar 15, 2022",89.10,89.00,91.00,88.00,29130.0,0.11%
"Mar 14, 2022",89.00,88.80,89.90,87.80,30640.0,1.83%
"Mar 13, 2022",87.40,85.50,87.50,85.20,20280.0,1.98%
"Mar 10, 2022",85.70,86.40,87.60,85.60,42420.0,-0.70%
"Mar 09, 2022",86.30,85.20,86.40,84.70,90680.0,1.41%
"Mar 08, 2022",85.10,84.00,85.50,82.30,36310.0,0.47%
"Mar 07, 2022",84.70,86.10,88.00,84.00,37090.0,-1.85%
"Mar 06, 2022",86.30,88.50,88.50,86.20,24990.0,-1.71%
"Mar 03, 2022",87.80,87.70,88.20,86.50,35300.0,-0.57%
