date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",195.00,193.20,195.00,193.20,1100.0,0.05%
"Mar 29, 2022",194.90,195.20,195.50,193.70,26220.0,-0.15%
"Mar 28, 2022",195.20,193.00,195.90,192.10,67350.0,1.93%
"Mar 27, 2022",191.50,192.10,192.90,190.00,9220.0,-0.73%
"Mar 24, 2022",192.90,190.60,194.00,189.20,18050.0,0.57%
"Mar 23, 2022",191.80,193.00,195.00,190.00,22420.0,-0.16%
"Mar 22, 2022",192.10,193.00,194.00,190.80,28230.0,-0.47%
"Mar 21, 2022",193.00,189.00,193.90,189.00,9280.0,1.53%
"Mar 20, 2022",190.10,193.60,193.60,190.00,4140.0,-0.78%
"Mar 16, 2022",191.60,192.10,193.00,190.50,3470.0,-0.78%
"Mar 15, 2022",193.10,191.00,194.00,188.50,39790.0,0.78%
"Mar 14, 2022",191.60,195.00,195.00,190.00,8780.0,0.42%
"Mar 13, 2022",190.80,189.10,193.00,186.10,26170.0,0.53%
"Mar 10, 2022",189.80,190.00,192.90,188.90,5790.0,0.48%
"Mar 09, 2022",188.90,186.50,190.00,186.30,26120.0,1.40%
"Mar 08, 2022",186.30,188.00,189.20,184.50,41830.0,-2.05%
"Mar 07, 2022",190.20,191.70,193.20,189.00,30390.0,-1.86%
"Mar 06, 2022",193.80,195.50,195.50,191.00,3960.0,-0.62%
"Mar 03, 2022",195.00,193.00,195.50,193.00,123390.0,-0.05%
