date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",7.60,7.50,7.60,7.50,521070.00000000006,1.33%
"Mar 29, 2022",7.50,7.60,7.60,7.40,1350000.0,0.00%
"Mar 28, 2022",7.50,7.60,7.60,7.50,2440000.0,0.00%
"Mar 27, 2022",7.50,7.50,7.60,7.50,2110000.0,0.00%
"Mar 24, 2022",7.50,7.50,7.60,7.40,1600000.0,0.00%
"Mar 23, 2022",7.50,7.50,7.50,7.40,1070000.0,0.00%
"Mar 22, 2022",7.50,7.50,7.60,7.40,3140000.0,0.00%
"Mar 21, 2022",7.50,7.50,7.60,7.40,2230000.0,0.00%
"Mar 20, 2022",7.50,7.50,7.60,7.50,2280000.0,0.00%
"Mar 16, 2022",7.50,7.60,7.60,7.50,2220000.0,0.00%
"Mar 15, 2022",7.50,7.50,7.60,7.50,1110000.0,0.00%
"Mar 14, 2022",7.50,7.60,7.60,7.50,2420000.0,-1.32%
"Mar 13, 2022",7.60,7.50,7.60,7.50,2700000.0,1.33%
"Mar 10, 2022",7.50,7.60,7.70,7.50,3120000.0,0.00%
"Mar 09, 2022",7.50,7.50,7.60,7.50,2630000.0,0.00%
"Mar 08, 2022",7.50,7.50,7.60,7.40,5960000.0,0.00%
"Mar 07, 2022",7.50,7.50,7.60,7.40,4570000.0,0.00%
"Mar 06, 2022",7.50,7.50,7.60,7.50,1810000.0,0.00%
"Mar 03, 2022",7.50,7.50,7.60,7.50,1660000.0,0.00%
