date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",102.90,103.60,103.70,102.70,374360.0,-0.19%
"Mar 29, 2022",103.10,104.00,105.00,102.80,1430000.0,-1.15%
"Mar 28, 2022",104.30,105.50,106.00,103.90,2620000.0,-0.95%
"Mar 27, 2022",105.30,107.40,107.80,105.00,4110000.0000000005,-1.22%
"Mar 24, 2022",106.60,103.10,107.10,102.50,4330000.0,3.70%
"Mar 23, 2022",102.80,105.00,105.70,102.60,1710000.0,-1.44%
"Mar 22, 2022",104.30,102.00,104.90,101.80,2340000.0,2.86%
"Mar 21, 2022",101.40,101.00,102.00,99.40,1080000.0,1.10%
"Mar 20, 2022",100.30,103.20,103.70,100.20,1690000.0,-1.47%
"Mar 16, 2022",101.80,101.20,102.70,100.90,1520000.0,1.19%
"Mar 15, 2022",100.60,101.00,102.70,99.90,1510000.0,-1.08%
"Mar 14, 2022",101.70,103.50,104.20,101.20,1780000.0,-1.45%
"Mar 13, 2022",103.20,100.40,103.70,99.50,2270000.0,4.03%
"Mar 10, 2022",99.20,101.00,101.80,98.60,2550000.0,0.20%
"Mar 09, 2022",99.00,96.90,99.50,96.00,1500000.0,3.56%
"Mar 08, 2022",95.60,94.00,96.40,91.00,1250000.0,2.58%
"Mar 07, 2022",93.20,96.90,97.50,92.90,1490000.0,-3.92%
"Mar 06, 2022",97.00,101.50,102.00,96.50,1140000.0,-3.58%
"Mar 03, 2022",100.60,99.90,101.50,98.00,1470000.0,0.70%
