date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",45.30,46.00,46.00,45.10,359250.0,-0.22%
"Mar 29, 2022",45.40,44.20,45.80,44.00,1440000.0,3.18%
"Mar 28, 2022",44.00,42.80,44.50,42.80,809520.0,3.04%
"Mar 27, 2022",42.70,43.50,43.90,42.70,993640.0,-1.84%
"Mar 24, 2022",43.50,44.30,44.50,43.30,772460.0,-1.36%
"Mar 23, 2022",44.10,45.10,45.50,44.00,595210.0,-1.56%
"Mar 22, 2022",44.80,45.40,45.40,44.10,564210.0,1.36%
"Mar 21, 2022",44.20,45.70,45.70,44.10,643630.0,-1.78%
"Mar 20, 2022",45.00,46.40,46.40,45.00,319660.0,-1.96%
"Mar 16, 2022",45.90,46.60,46.90,45.70,538520.0,-0.43%
"Mar 15, 2022",46.10,46.50,46.80,46.00,1920000.0,-1.71%
"Mar 14, 2022",46.90,47.40,47.70,46.70,996690.0,-0.64%
"Mar 13, 2022",47.20,45.00,48.20,45.00,2430000.0,4.42%
"Mar 10, 2022",45.20,46.20,46.60,44.90,1270000.0,-0.66%
"Mar 09, 2022",45.50,44.20,46.00,44.00,1840000.0,3.41%
"Mar 08, 2022",44.00,44.30,44.40,41.40,738670.0,2.80%
"Mar 07, 2022",42.80,44.90,45.30,42.50,1150000.0,-4.89%
"Mar 06, 2022",45.00,46.00,46.20,44.80,432580.0,-1.32%
"Mar 03, 2022",45.60,44.80,46.80,44.60,782050.0,1.79%
