date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",217.60,218.20,220.00,217.60,85720.0,-0.50%
"Mar 29, 2022",218.70,220.90,220.90,218.20,333100.0,-0.82%
"Mar 28, 2022",220.50,220.00,222.20,220.00,484560.0,-0.18%
"Mar 27, 2022",220.90,218.50,222.20,218.50,682720.0,0.55%
"Mar 24, 2022",219.70,221.20,221.20,219.40,218900.0,-0.14%
"Mar 23, 2022",220.00,220.00,222.30,219.00,457150.0,0.00%
"Mar 22, 2022",220.00,216.10,220.50,216.00,765480.0,1.43%
"Mar 21, 2022",216.90,217.00,217.70,215.40,317340.0,0.18%
"Mar 20, 2022",216.50,217.20,218.90,216.10,123570.0,-0.64%
"Mar 16, 2022",217.90,217.10,218.50,217.10,128100.0,0.41%
"Mar 15, 2022",217.00,217.60,218.50,216.90,327580.0,-0.18%
"Mar 14, 2022",217.40,217.60,218.70,216.20,266050.0,0.00%
"Mar 13, 2022",217.40,214.90,218.20,214.70,167030.0,1.16%
"Mar 10, 2022",214.90,214.50,217.80,214.50,330440.0,0.42%
"Mar 09, 2022",214.00,215.80,216.40,211.90,379680.0,1.47%
"Mar 08, 2022",210.90,213.00,216.00,209.30,981740.0,-0.66%
"Mar 07, 2022",212.30,217.10,217.10,212.00,498200.0,-2.12%
"Mar 06, 2022",216.90,218.10,218.10,216.70,155060.0,-0.55%
"Mar 03, 2022",218.10,220.00,220.00,217.10,205800.0,-0.55%
