date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",38.90,38.60,39.10,38.60,82070.0,0.78%
"Mar 29, 2022",38.60,39.20,39.60,38.50,426710.0,0.00%
"Mar 28, 2022",38.60,38.80,39.30,38.50,426010.0,-0.26%
"Mar 27, 2022",38.70,39.30,39.30,38.60,396480.0,-1.28%
"Mar 24, 2022",39.20,39.00,40.30,39.00,1300000.0,1.03%
"Mar 23, 2022",38.80,38.80,39.00,38.60,513169.99999999994,0.78%
"Mar 22, 2022",38.50,38.50,38.70,38.10,325060.0,1.32%
"Mar 21, 2022",38.00,38.10,38.40,37.90,221860.0,-0.26%
"Mar 20, 2022",38.10,38.50,38.60,37.80,277980.0,-0.26%
"Mar 16, 2022",38.20,38.50,38.80,38.00,543120.0,-0.78%
"Mar 15, 2022",38.50,38.70,38.90,38.20,364710.0,-0.77%
"Mar 14, 2022",38.80,39.60,39.60,38.60,492150.0,-1.27%
"Mar 13, 2022",39.30,38.50,39.50,38.00,481570.0,3.15%
"Mar 10, 2022",38.10,38.60,38.70,38.00,619510.0,-0.52%
"Mar 09, 2022",38.30,37.90,38.40,37.50,389400.0,1.86%
"Mar 08, 2022",37.60,37.20,38.00,36.20,569530.0,0.27%
"Mar 07, 2022",37.50,38.20,38.20,37.50,647730.0,-1.57%
"Mar 06, 2022",38.10,38.00,38.20,37.90,238040.0,0.00%
"Mar 03, 2022",38.10,38.10,38.20,37.50,374290.0,0.00%
