date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",40.90,41.50,41.70,40.90,148710.0,-1.68%
"Mar 29, 2022",41.60,39.70,42.40,39.70,1890000.0,5.05%
"Mar 28, 2022",39.60,39.70,40.20,39.10,518970.0,0.76%
"Mar 27, 2022",39.30,39.60,40.00,39.20,350160.0,-0.76%
"Mar 24, 2022",39.60,40.10,40.40,39.40,451160.0,-1.00%
"Mar 23, 2022",40.00,40.80,40.80,39.80,936650.0,-1.48%
"Mar 22, 2022",40.60,40.40,41.50,40.10,553440.0,1.50%
"Mar 21, 2022",40.00,39.50,40.50,39.30,211250.0,1.01%
"Mar 20, 2022",39.60,40.30,40.30,39.40,584620.0,-1.49%
"Mar 16, 2022",40.20,41.30,41.30,40.10,273490.0,-0.99%
"Mar 15, 2022",40.60,41.10,41.40,40.30,391900.0,-0.49%
"Mar 14, 2022",40.80,41.00,41.60,40.60,471620.0,-1.21%
"Mar 13, 2022",41.30,40.60,41.80,40.10,596970.0,1.98%
"Mar 10, 2022",40.50,41.20,41.50,40.40,572880.0,-1.70%
"Mar 09, 2022",41.20,40.80,41.40,40.20,415260.0,3.00%
"Mar 08, 2022",40.00,39.40,40.50,37.70,520480.0,3.36%
"Mar 07, 2022",38.70,39.30,39.60,38.50,447270.0,-2.76%
"Mar 06, 2022",39.80,39.80,40.20,39.50,151510.0,0.25%
"Mar 03, 2022",39.70,39.60,40.60,39.10,199610.0,-0.50%
