date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",15.80,15.90,16.00,15.70,146660.0,-0.63%
"Mar 29, 2022",15.90,15.60,16.00,15.50,271440.0,1.27%
"Mar 28, 2022",15.70,15.60,15.80,15.50,90190.0,0.00%
"Mar 27, 2022",15.70,15.80,15.90,15.60,172350.0,-0.63%
"Mar 24, 2022",15.80,15.50,15.80,15.50,177980.0,1.94%
"Mar 23, 2022",15.50,15.60,15.70,15.50,121150.0,-1.27%
"Mar 22, 2022",15.70,15.60,16.00,15.50,502170.0,1.95%
"Mar 21, 2022",15.40,15.40,15.70,15.40,131270.0,-0.65%
"Mar 20, 2022",15.50,15.70,15.70,15.40,328840.0,-0.64%
"Mar 16, 2022",15.60,15.60,15.80,15.50,206060.0,0.00%
"Mar 15, 2022",15.60,15.40,15.80,15.40,234230.0,1.30%
"Mar 14, 2022",15.40,15.60,15.60,15.30,95230.0,-0.65%
"Mar 13, 2022",15.50,15.40,15.50,15.40,115160.0,1.31%
"Mar 10, 2022",15.30,15.20,15.40,15.10,268810.0,0.66%
"Mar 09, 2022",15.20,14.70,15.20,14.70,103160.0,2.70%
"Mar 08, 2022",14.80,14.80,15.10,14.40,725990.0,-1.33%
"Mar 07, 2022",15.00,15.50,15.50,14.90,583270.0,-1.32%
"Mar 06, 2022",15.20,15.20,15.50,15.10,144240.0,-1.30%
"Mar 03, 2022",15.40,15.40,15.50,15.20,95300.0,0.65%
