date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",60.20,60.00,60.70,60.00,190560.0,0.17%
"Mar 29, 2022",60.10,59.40,60.60,59.40,621580.0,1.18%
"Mar 28, 2022",59.40,57.80,59.80,57.80,271820.0,1.89%
"Mar 27, 2022",58.30,57.90,58.80,57.90,134740.0,-0.34%
"Mar 24, 2022",58.50,58.00,59.60,58.00,156750.0,-0.68%
"Mar 23, 2022",58.90,60.30,60.80,58.70,179550.0,-1.51%
"Mar 22, 2022",59.80,59.50,60.50,58.80,346420.0,2.40%
"Mar 21, 2022",58.40,58.40,59.20,58.20,315180.0,-1.35%
"Mar 20, 2022",59.20,60.20,61.20,59.20,183760.0,-1.99%
"Mar 16, 2022",60.40,61.20,61.50,60.00,546330.0,0.17%
"Mar 15, 2022",60.30,58.20,61.30,58.00,877150.0,3.08%
"Mar 14, 2022",58.50,57.90,59.70,57.60,399990.0,1.04%
"Mar 13, 2022",57.90,56.50,58.10,56.10,403390.0,2.12%
"Mar 10, 2022",56.70,56.50,57.50,56.00,298570.0,-0.18%
"Mar 09, 2022",56.80,55.30,57.30,55.30,176710.0,2.53%
"Mar 08, 2022",55.40,55.70,56.10,54.60,256390.0,-1.25%
"Mar 07, 2022",56.10,56.90,57.50,55.70,220610.0,-1.23%
"Mar 06, 2022",56.80,56.50,57.30,56.20,211640.0,1.07%
"Mar 03, 2022",56.20,56.80,56.90,55.60,187020.0,-1.06%
