date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",895.00,895.00,895.00,895.00,0.19K,-0.96%
"Mar 28, 2022",903.70,902.00,940.00,887.10,0.59K,1.61%
"Mar 27, 2022",889.40,880.60,900.00,880.60,0.07K,-0.70%
"Mar 24, 2022",895.70,895.00,898.00,888.80,0.18K,0.10%
"Mar 23, 2022",894.80,920.00,920.00,890.20,0.62K,0.51%
"Mar 22, 2022",890.30,915.90,915.90,889.20,1.48K,-1.37%
"Mar 21, 2022",902.70,889.90,905.00,889.90,0.55K,2.09%
"Mar 20, 2022",884.20,884.10,884.30,884.10,0.16K,-0.45%
"Mar 16, 2022",888.20,886.30,899.00,885.00,1.12K,-0.65%
"Mar 15, 2022",894.00,892.00,908.00,891.10,0.79K,0.15%
"Mar 14, 2022",892.70,886.00,913.90,886.00,1.13K,-1.03%
"Mar 13, 2022",902.00,888.00,913.90,888.00,1.15K,0.88%
"Mar 10, 2022",894.10,890.00,900.00,888.00,1.36K,-0.35%
"Mar 09, 2022",897.20,870.00,900.00,869.00,0.90K,2.96%
"Mar 08, 2022",871.40,878.20,897.00,860.10,1.46K,-0.77%
"Mar 07, 2022",878.20,896.00,896.00,860.10,0.59K,-1.98%
"Mar 06, 2022",895.90,900.90,900.90,895.50,0.12K,-0.56%
"Mar 03, 2022",900.90,904.00,914.80,897.00,0.30K,0.46%
"Mar 02, 2022",896.80,900.00,900.00,892.00,1.13K,-0.74%
