date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",153.30,154.80,155.00,152.90,3.52M,-0.45%
"Mar 28, 2022",154.00,157.00,157.40,153.50,3.14M,-1.41%
"Mar 27, 2022",156.20,157.90,159.40,155.10,5.84M,-0.89%
"Mar 24, 2022",157.60,158.80,159.50,156.60,6.41M,-1.01%
"Mar 23, 2022",159.20,161.70,162.80,157.80,7.77M,-0.75%
"Mar 22, 2022",160.40,155.20,161.00,155.00,8.56M,3.48%
"Mar 21, 2022",155.00,155.00,155.30,153.70,2.95M,0.13%
"Mar 20, 2022",154.80,155.80,156.40,153.60,3.46M,-0.19%
"Mar 16, 2022",155.10,155.00,156.10,153.70,4.03M,0.58%
"Mar 15, 2022",154.20,152.90,155.00,151.00,7.00M,0.92%
"Mar 14, 2022",152.80,155.00,155.00,152.20,3.49M,-1.04%
"Mar 13, 2022",154.40,152.50,155.90,152.00,4.71M,1.58%
"Mar 10, 2022",152.00,150.10,152.50,150.00,3.29M,1.33%
"Mar 09, 2022",150.00,149.90,151.00,149.20,2.72M,1.35%
"Mar 08, 2022",148.00,147.90,150.20,144.00,4.05M,0.48%
"Mar 07, 2022",147.30,151.10,151.90,146.20,2.77M,-3.22%
"Mar 06, 2022",152.20,153.10,153.20,150.00,4.66M,-0.13%
"Mar 03, 2022",152.40,153.00,153.30,151.50,2.44M,-0.07%
"Mar 02, 2022",152.50,153.90,155.60,151.70,7.18M,0.00%
