date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",50.10,50.00,50.40,49.80,573.84K,0.40%
"Mar 28, 2022",49.90,50.40,50.60,49.60,734.64K,-0.80%
"Mar 27, 2022",50.30,49.80,50.50,49.00,334.85K,0.60%
"Mar 24, 2022",50.00,50.20,50.30,49.80,1.44M,-0.20%
"Mar 23, 2022",50.10,50.10,50.70,49.90,519.65K,0.20%
"Mar 22, 2022",50.00,49.40,50.10,49.40,2.02M,1.21%
"Mar 21, 2022",49.40,49.00,49.90,48.50,1.11M,0.00%
"Mar 20, 2022",49.40,49.50,49.70,49.20,396.84K,-0.60%
"Mar 16, 2022",49.70,48.40,50.50,47.80,1.73M,2.69%
"Mar 15, 2022",48.40,49.00,49.00,48.20,1.56M,-1.22%
"Mar 14, 2022",49.00,49.40,49.70,48.50,2.04M,-0.81%
"Mar 13, 2022",49.40,48.90,49.70,48.80,340.98K,1.65%
"Mar 10, 2022",48.60,48.70,50.80,48.20,1.40M,0.41%
"Mar 09, 2022",48.40,49.20,49.90,48.10,2.73M,-0.62%
"Mar 08, 2022",48.70,52.00,52.00,48.00,2.13M,-4.51%
"Mar 07, 2022",51.00,51.00,52.30,50.40,551.66K,-1.73%
"Mar 06, 2022",51.90,51.40,52.30,51.00,169.82K,0.97%
"Mar 03, 2022",51.40,52.80,52.80,49.00,1.58M,-0.19%
"Mar 02, 2022",51.50,53.30,53.40,51.10,1.58M,-2.46%
