date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",218.10,210.50,227.00,208.70,168.70K,4.45%
"Mar 28, 2022",208.80,206.40,210.50,206.40,77.67K,0.77%
"Mar 27, 2022",207.20,207.60,208.70,206.20,31.04K,-1.00%
"Mar 24, 2022",209.30,210.20,211.00,209.00,34.69K,-0.43%
"Mar 23, 2022",210.20,209.10,211.20,208.90,150.40K,0.62%
"Mar 22, 2022",208.90,206.00,209.30,205.30,65.32K,2.35%
"Mar 21, 2022",204.10,201.50,207.00,201.50,70.59K,-0.34%
"Mar 20, 2022",204.80,208.90,208.90,204.80,64.84K,-1.96%
"Mar 16, 2022",208.90,209.00,211.60,208.50,36.07K,0.10%
"Mar 15, 2022",208.70,208.30,209.00,206.40,49.62K,0.19%
"Mar 14, 2022",208.30,208.00,210.00,207.50,69.00K,0.24%
"Mar 13, 2022",207.80,201.30,208.20,201.30,86.67K,3.38%
"Mar 10, 2022",201.00,205.00,207.20,199.60,96.79K,-1.23%
"Mar 09, 2022",203.50,203.20,204.70,199.00,79.54K,2.73%
"Mar 08, 2022",198.10,194.90,202.50,185.30,96.58K,1.80%
"Mar 07, 2022",194.60,201.20,201.20,194.10,95.98K,-3.76%
"Mar 06, 2022",202.20,203.20,204.80,201.20,76.05K,-0.49%
"Mar 03, 2022",203.20,203.10,206.00,201.40,83.92K,-1.07%
"Mar 02, 2022",205.40,207.00,209.60,205.20,52.20K,-1.53%
