date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",75.00,76.00,76.90,74.80,244.43K,-1.06%
"Mar 28, 2022",75.80,75.00,76.00,74.70,266.22K,1.07%
"Mar 27, 2022",75.00,73.50,75.60,73.50,269.76K,1.63%
"Mar 24, 2022",73.80,73.70,74.00,73.50,99.74K,0.14%
"Mar 23, 2022",73.70,73.50,74.10,73.20,57.86K,0.55%
"Mar 22, 2022",73.30,73.40,73.50,72.90,104.73K,1.52%
"Mar 21, 2022",72.20,72.60,73.30,72.00,78.72K,-1.10%
"Mar 20, 2022",73.00,74.70,74.70,72.70,50.14K,-1.08%
"Mar 16, 2022",73.80,74.30,74.50,73.60,45.56K,-0.54%
"Mar 15, 2022",74.20,74.40,74.40,73.80,32.94K,-0.27%
"Mar 14, 2022",74.40,74.10,74.70,73.80,42.87K,0.40%
"Mar 13, 2022",74.10,73.30,74.60,72.40,53.78K,2.63%
"Mar 10, 2022",72.20,72.70,75.00,71.20,133.79K,0.84%
"Mar 09, 2022",71.60,69.00,72.00,69.00,100.39K,4.37%
"Mar 08, 2022",68.60,69.00,69.50,66.00,110.18K,0.44%
"Mar 07, 2022",68.30,70.90,71.30,68.20,83.90K,-3.67%
"Mar 06, 2022",70.90,71.20,72.50,70.80,37.90K,-0.28%
"Mar 03, 2022",71.10,71.80,71.80,70.90,211.98K,-0.97%
"Mar 02, 2022",71.80,72.80,73.00,71.50,221.33K,-1.37%
