date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",177.30,178.10,179.90,177.00,288.86K,-0.39%
"Mar 28, 2022",178.00,182.00,182.90,177.50,544.78K,-1.71%
"Mar 27, 2022",181.10,182.90,183.00,180.70,133.72K,-0.66%
"Mar 24, 2022",182.30,183.00,184.00,181.30,731.15K,-0.44%
"Mar 23, 2022",183.10,186.30,188.10,182.60,259.70K,-1.08%
"Mar 22, 2022",185.10,180.60,187.90,179.30,611.00K,3.18%
"Mar 21, 2022",179.40,177.90,180.20,177.60,156.40K,0.84%
"Mar 20, 2022",177.90,181.80,182.30,177.10,270.94K,0.00%
"Mar 16, 2022",177.90,181.70,181.70,177.40,193.93K,-0.61%
"Mar 15, 2022",179.00,178.80,180.80,178.30,218.57K,0.22%
"Mar 14, 2022",178.60,182.00,182.00,177.80,294.04K,-1.49%
"Mar 13, 2022",181.30,179.80,182.40,178.70,226.71K,1.74%
"Mar 10, 2022",178.20,180.90,182.20,176.40,405.91K,-0.28%
"Mar 09, 2022",178.70,181.80,184.70,177.70,507.76K,0.68%
"Mar 08, 2022",177.50,176.70,179.90,170.50,536.30K,0.74%
"Mar 07, 2022",176.20,183.00,183.00,175.50,498.23K,-4.13%
"Mar 06, 2022",183.80,186.00,188.00,182.80,319.95K,-1.39%
"Mar 03, 2022",186.40,186.30,187.00,185.00,185.63K,-0.37%
"Mar 02, 2022",187.10,190.90,191.30,186.80,335.19K,-0.48%
