date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",26.10,26.10,26.30,26.00,300.23K,0.00%
"Mar 28, 2022",26.10,26.20,26.30,26.00,599.42K,0.00%
"Mar 27, 2022",26.10,26.30,26.40,26.00,475.59K,-1.14%
"Mar 24, 2022",26.40,26.40,26.50,26.00,235.59K,0.00%
"Mar 23, 2022",26.40,26.70,26.70,26.30,161.95K,-0.38%
"Mar 22, 2022",26.50,26.40,26.80,26.30,188.86K,0.38%
"Mar 21, 2022",26.40,26.20,26.50,26.00,370.16K,0.00%
"Mar 20, 2022",26.40,26.80,26.80,26.40,177.07K,-0.75%
"Mar 16, 2022",26.60,26.60,26.90,26.40,305.38K,-0.37%
"Mar 15, 2022",26.70,26.90,27.30,26.50,299.11K,-0.74%
"Mar 14, 2022",26.90,26.70,27.50,26.30,415.63K,1.89%
"Mar 13, 2022",26.40,26.40,26.50,26.20,192.39K,1.15%
"Mar 10, 2022",26.10,26.20,26.90,26.00,467.64K,0.38%
"Mar 09, 2022",26.00,25.90,26.10,25.70,158.70K,1.56%
"Mar 08, 2022",25.60,25.60,25.90,25.30,610.41K,-0.39%
"Mar 07, 2022",25.70,25.80,26.00,25.60,674.84K,-0.39%
"Mar 06, 2022",25.80,25.90,26.30,25.80,486.09K,-1.15%
"Mar 03, 2022",26.10,26.30,27.20,25.90,1.03M,-0.38%
"Mar 02, 2022",26.20,26.20,26.50,25.70,156.39K,-0.38%
