date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",155.80,154.00,156.70,152.70,298.77K,2.70%
"Mar 28, 2022",151.70,152.90,155.90,151.10,380.64K,-1.49%
"Mar 27, 2022",154.00,157.10,157.10,154.00,244.51K,-1.97%
"Mar 24, 2022",157.10,157.00,158.40,154.40,1.03M,0.51%
"Mar 23, 2022",156.30,150.20,160.90,150.20,1.22M,6.54%
"Mar 22, 2022",146.70,146.90,147.20,145.10,198.39K,1.52%
"Mar 21, 2022",144.50,147.10,148.10,144.00,113.69K,-1.63%
"Mar 20, 2022",146.90,150.60,150.70,146.80,229.07K,-1.87%
"Mar 16, 2022",149.70,150.90,151.00,148.50,242.85K,0.60%
"Mar 15, 2022",148.80,151.70,151.70,148.20,483.86K,-1.46%
"Mar 14, 2022",151.00,148.70,152.00,147.50,312.45K,2.10%
"Mar 13, 2022",147.90,152.90,153.90,146.90,775.42K,-1.27%
"Mar 10, 2022",149.80,152.60,157.20,148.60,878.25K,-1.19%
"Mar 09, 2022",151.60,146.90,152.50,143.70,399.28K,5.79%
"Mar 08, 2022",143.30,143.10,145.90,138.40,418.71K,1.49%
"Mar 07, 2022",141.20,151.30,151.30,140.00,773.13K,-5.74%
"Mar 06, 2022",149.80,155.20,157.00,149.10,320.10K,-3.04%
"Mar 03, 2022",154.50,153.70,159.40,152.50,2.01M,0.59%
"Mar 02, 2022",153.60,158.80,159.70,152.70,279.79K,-2.54%
