date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",279.20,278.90,279.70,276.70,3.35K,0.36%
"Mar 28, 2022",278.20,273.00,279.00,272.50,3.90K,1.53%
"Mar 27, 2022",274.00,276.00,276.00,270.00,2.59K,1.33%
"Mar 24, 2022",270.40,271.10,272.20,270.00,3.26K,-0.26%
"Mar 23, 2022",271.10,271.00,275.00,271.00,6.66K,-1.67%
"Mar 22, 2022",275.70,268.00,277.00,268.00,7.81K,1.96%
"Mar 21, 2022",270.40,267.00,272.00,265.00,6.86K,0.33%
"Mar 20, 2022",269.50,270.50,271.20,268.80,4.96K,-1.14%
"Mar 16, 2022",272.60,289.00,289.00,270.20,5.93K,0.33%
"Mar 15, 2022",271.70,276.40,276.40,270.00,13.92K,0.07%
"Mar 14, 2022",271.50,279.00,279.00,271.00,12.18K,-0.91%
"Mar 13, 2022",274.00,276.00,277.00,273.00,14.50K,-0.65%
"Mar 10, 2022",275.80,280.10,280.10,275.10,4.13K,-1.50%
"Mar 09, 2022",280.00,282.00,282.00,275.80,7.03K,0.72%
"Mar 08, 2022",278.00,265.00,285.00,263.00,5.23K,3.62%
"Mar 07, 2022",268.30,280.20,280.20,265.10,10.03K,-4.21%
"Mar 06, 2022",280.10,280.00,282.00,280.00,1.10K,-1.06%
"Mar 03, 2022",283.10,276.00,285.90,271.00,2.71K,1.65%
"Mar 02, 2022",278.50,279.60,288.70,275.50,2.44K,-0.46%
