date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",52.10,51.10,52.50,51.00,231.23K,1.56%
"Mar 28, 2022",51.30,51.30,51.50,51.00,64.43K,0.00%
"Mar 27, 2022",51.30,51.90,51.90,51.00,73.54K,-0.58%
"Mar 24, 2022",51.60,51.40,51.80,51.00,90.19K,0.98%
"Mar 23, 2022",51.10,51.80,51.90,51.00,152.38K,-0.78%
"Mar 22, 2022",51.50,51.30,51.70,51.20,116.70K,0.98%
"Mar 21, 2022",51.00,51.30,51.40,50.60,181.90K,-1.16%
"Mar 20, 2022",51.60,52.10,52.10,51.10,185.12K,-0.96%
"Mar 16, 2022",52.10,52.30,52.70,51.50,174.64K,-0.76%
"Mar 15, 2022",52.50,52.50,52.80,52.00,400.77K,0.00%
"Mar 14, 2022",52.50,52.10,52.70,51.90,458.20K,0.77%
"Mar 13, 2022",52.10,51.00,52.70,51.00,287.58K,2.56%
"Mar 10, 2022",50.80,51.00,51.90,50.50,733.40K,0.20%
"Mar 09, 2022",50.70,52.00,52.00,50.10,1.14M,-4.88%
"Mar 07, 2022",53.30,55.00,55.10,53.10,414.36K,-3.09%
"Mar 06, 2022",55.00,55.10,55.70,54.80,232.88K,-0.18%
"Mar 03, 2022",55.10,55.50,55.90,54.40,375.52K,-0.54%
"Mar 02, 2022",55.40,56.00,56.00,54.60,207.85K,-0.18%
