date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",32.80,32.50,32.80,32.50,110.41K,0.92%
"Mar 28, 2022",32.50,32.50,32.60,32.50,69.27K,0.00%
"Mar 27, 2022",32.50,32.50,32.60,32.50,55.68K,0.00%
"Mar 24, 2022",32.50,32.50,32.60,32.50,555.62K,0.00%
"Mar 23, 2022",32.50,32.50,32.60,32.40,331.44K,0.00%
"Mar 22, 2022",32.50,32.40,32.60,32.40,50.85K,0.00%
"Mar 21, 2022",32.50,32.50,32.50,32.50,138.17K,0.00%
"Mar 20, 2022",32.50,32.50,32.60,32.50,114.10K,0.00%
"Mar 16, 2022",32.50,32.50,32.60,32.50,75.78K,0.00%
"Mar 15, 2022",32.50,32.50,32.60,32.50,77.46K,0.00%
"Mar 14, 2022",32.50,32.50,32.60,32.40,461.13K,-0.31%
"Mar 13, 2022",32.60,32.60,32.80,32.50,41.05K,0.00%
"Mar 10, 2022",32.60,32.40,32.70,32.40,101.11K,0.31%
"Mar 09, 2022",32.50,32.50,32.60,32.40,132.46K,0.00%
"Mar 08, 2022",32.50,32.40,32.50,32.30,417.26K,0.00%
"Mar 07, 2022",32.50,32.40,32.60,32.30,529.04K,0.00%
"Mar 06, 2022",32.50,32.50,32.60,32.40,130.28K,0.00%
"Mar 03, 2022",32.50,32.50,32.50,32.40,312.68K,0.00%
"Mar 02, 2022",32.50,32.50,32.60,32.40,288.92K,0.00%
