date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",163.40,165.00,165.00,163.40,4.93K,-0.91%
"Mar 28, 2022",164.90,163.20,165.00,163.20,11.55K,0.73%
"Mar 27, 2022",163.70,163.20,164.00,162.90,4.95K,0.37%
"Mar 24, 2022",163.10,162.20,165.00,162.00,9.53K,0.06%
"Mar 23, 2022",163.00,164.60,164.60,162.70,13.29K,0.31%
"Mar 22, 2022",162.50,163.70,163.70,161.90,35.76K,0.12%
"Mar 21, 2022",162.30,162.50,162.90,161.90,11.49K,-0.37%
"Mar 20, 2022",162.90,164.00,164.00,161.50,15.57K,-0.97%
"Mar 16, 2022",164.50,164.40,165.50,164.40,16.26K,0.06%
"Mar 15, 2022",164.40,164.70,165.70,164.00,7.17K,0.00%
"Mar 14, 2022",164.40,165.90,165.90,162.60,3.46K,1.48%
"Mar 13, 2022",162.00,162.30,164.70,160.40,6.25K,-0.49%
"Mar 10, 2022",162.80,163.00,164.00,162.00,2.44K,0.62%
"Mar 09, 2022",161.80,162.00,165.00,160.00,6.72K,0.56%
"Mar 08, 2022",160.90,161.10,161.90,155.40,8.88K,-0.12%
"Mar 07, 2022",161.10,165.80,165.80,159.30,18.56K,-2.54%
"Mar 06, 2022",165.30,165.10,166.00,165.10,5.19K,-0.66%
"Mar 03, 2022",166.40,168.50,168.50,165.10,13.33K,-0.83%
"Mar 02, 2022",167.80,167.40,168.00,164.50,5.19K,0.24%
