date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",88.30,87.70,89.90,87.70,42.46K,-0.23%
"Mar 28, 2022",88.50,87.70,88.90,87.70,14.12K,0.34%
"Mar 27, 2022",88.20,88.40,88.40,87.60,20.93K,-0.23%
"Mar 24, 2022",88.40,87.20,88.70,87.20,24.71K,1.03%
"Mar 23, 2022",87.50,88.30,88.80,87.10,15.27K,-0.91%
"Mar 22, 2022",88.30,87.50,88.50,87.50,11.66K,0.91%
"Mar 21, 2022",87.50,87.10,88.70,87.10,21.39K,-0.79%
"Mar 20, 2022",88.20,88.00,88.50,87.20,15.57K,-0.23%
"Mar 16, 2022",88.40,88.20,89.40,87.80,15.98K,-0.79%
"Mar 15, 2022",89.10,89.00,91.00,88.00,29.13K,0.11%
"Mar 14, 2022",89.00,88.80,89.90,87.80,30.64K,1.83%
"Mar 13, 2022",87.40,85.50,87.50,85.20,20.28K,1.98%
"Mar 10, 2022",85.70,86.40,87.60,85.60,42.42K,-0.70%
"Mar 09, 2022",86.30,85.20,86.40,84.70,90.68K,1.41%
"Mar 08, 2022",85.10,84.00,85.50,82.30,36.31K,0.47%
"Mar 07, 2022",84.70,86.10,88.00,84.00,37.09K,-1.85%
"Mar 06, 2022",86.30,88.50,88.50,86.20,24.99K,-1.71%
"Mar 03, 2022",87.80,87.70,88.20,86.50,35.30K,-0.57%
"Mar 02, 2022",88.30,89.60,89.70,88.00,14.60K,-0.79%
