date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",7.50,7.60,7.60,7.40,1.35M,0.00%
"Mar 28, 2022",7.50,7.60,7.60,7.50,2.44M,0.00%
"Mar 27, 2022",7.50,7.50,7.60,7.50,2.11M,0.00%
"Mar 24, 2022",7.50,7.50,7.60,7.40,1.60M,0.00%
"Mar 23, 2022",7.50,7.50,7.50,7.40,1.07M,0.00%
"Mar 22, 2022",7.50,7.50,7.60,7.40,3.14M,0.00%
"Mar 21, 2022",7.50,7.50,7.60,7.40,2.23M,0.00%
"Mar 20, 2022",7.50,7.50,7.60,7.50,2.28M,0.00%
"Mar 16, 2022",7.50,7.60,7.60,7.50,2.22M,0.00%
"Mar 15, 2022",7.50,7.50,7.60,7.50,1.11M,0.00%
"Mar 14, 2022",7.50,7.60,7.60,7.50,2.42M,-1.32%
"Mar 13, 2022",7.60,7.50,7.60,7.50,2.70M,1.33%
"Mar 10, 2022",7.50,7.60,7.70,7.50,3.12M,0.00%
"Mar 09, 2022",7.50,7.50,7.60,7.50,2.63M,0.00%
"Mar 08, 2022",7.50,7.50,7.60,7.40,5.96M,0.00%
"Mar 07, 2022",7.50,7.50,7.60,7.40,4.57M,0.00%
"Mar 06, 2022",7.50,7.50,7.60,7.50,1.81M,0.00%
"Mar 03, 2022",7.50,7.50,7.60,7.50,1.66M,0.00%
"Mar 02, 2022",7.50,7.50,7.60,7.40,3.73M,0.00%
