date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",103.10,104.00,105.00,102.80,1.43M,-1.15%
"Mar 28, 2022",104.30,105.50,106.00,103.90,2.62M,-0.95%
"Mar 27, 2022",105.30,107.40,107.80,105.00,4.11M,-1.22%
"Mar 24, 2022",106.60,103.10,107.10,102.50,4.33M,3.70%
"Mar 23, 2022",102.80,105.00,105.70,102.60,1.71M,-1.44%
"Mar 22, 2022",104.30,102.00,104.90,101.80,2.34M,2.86%
"Mar 21, 2022",101.40,101.00,102.00,99.40,1.08M,1.10%
"Mar 20, 2022",100.30,103.20,103.70,100.20,1.69M,-1.47%
"Mar 16, 2022",101.80,101.20,102.70,100.90,1.52M,1.19%
"Mar 15, 2022",100.60,101.00,102.70,99.90,1.51M,-1.08%
"Mar 14, 2022",101.70,103.50,104.20,101.20,1.78M,-1.45%
"Mar 13, 2022",103.20,100.40,103.70,99.50,2.27M,4.03%
"Mar 10, 2022",99.20,101.00,101.80,98.60,2.55M,0.20%
"Mar 09, 2022",99.00,96.90,99.50,96.00,1.50M,3.56%
"Mar 08, 2022",95.60,94.00,96.40,91.00,1.25M,2.58%
"Mar 07, 2022",93.20,96.90,97.50,92.90,1.49M,-3.92%
"Mar 06, 2022",97.00,101.50,102.00,96.50,1.14M,-3.58%
"Mar 03, 2022",100.60,99.90,101.50,98.00,1.47M,0.70%
"Mar 02, 2022",99.90,102.80,102.80,98.30,1.29M,-1.87%
