date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",45.40,44.20,45.80,44.00,1.44M,3.18%
"Mar 28, 2022",44.00,42.80,44.50,42.80,809.52K,3.04%
"Mar 27, 2022",42.70,43.50,43.90,42.70,993.64K,-1.84%
"Mar 24, 2022",43.50,44.30,44.50,43.30,772.46K,-1.36%
"Mar 23, 2022",44.10,45.10,45.50,44.00,595.21K,-1.56%
"Mar 22, 2022",44.80,45.40,45.40,44.10,564.21K,1.36%
"Mar 21, 2022",44.20,45.70,45.70,44.10,643.63K,-1.78%
"Mar 20, 2022",45.00,46.40,46.40,45.00,319.66K,-1.96%
"Mar 16, 2022",45.90,46.60,46.90,45.70,538.52K,-0.43%
"Mar 15, 2022",46.10,46.50,46.80,46.00,1.92M,-1.71%
"Mar 14, 2022",46.90,47.40,47.70,46.70,996.69K,-0.64%
"Mar 13, 2022",47.20,45.00,48.20,45.00,2.43M,4.42%
"Mar 10, 2022",45.20,46.20,46.60,44.90,1.27M,-0.66%
"Mar 09, 2022",45.50,44.20,46.00,44.00,1.84M,3.41%
"Mar 08, 2022",44.00,44.30,44.40,41.40,738.67K,2.80%
"Mar 07, 2022",42.80,44.90,45.30,42.50,1.15M,-4.89%
"Mar 06, 2022",45.00,46.00,46.20,44.80,432.58K,-1.32%
"Mar 03, 2022",45.60,44.80,46.80,44.60,782.05K,1.79%
"Mar 02, 2022",44.80,45.80,46.20,44.40,668.38K,-2.18%
