date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",166.90,165.20,167.70,165.20,43.40K,0.54%
"Mar 28, 2022",166.00,166.00,166.90,165.00,34.86K,0.12%
"Mar 27, 2022",165.80,161.10,166.70,161.10,80.66K,1.53%
"Mar 24, 2022",163.30,162.70,163.90,162.00,18.72K,0.68%
"Mar 23, 2022",162.20,161.20,163.00,161.20,20.07K,-0.31%
"Mar 22, 2022",162.70,163.80,163.80,161.90,10.45K,-0.06%
"Mar 21, 2022",162.80,160.00,163.50,159.00,87.59K,1.62%
"Mar 20, 2022",160.20,159.10,160.70,158.00,47.92K,0.69%
"Mar 16, 2022",159.10,157.20,160.00,157.20,71.77K,0.63%
"Mar 15, 2022",158.10,160.00,160.00,158.00,94.92K,0.00%
"Mar 14, 2022",158.10,160.40,160.90,158.00,152.17K,-1.13%
"Mar 13, 2022",159.90,156.80,160.20,156.80,44.08K,1.98%
"Mar 10, 2022",156.80,156.90,157.20,156.10,98.48K,0.51%
"Mar 09, 2022",156.00,155.20,158.40,154.40,169.88K,0.65%
"Mar 08, 2022",155.00,151.10,160.00,151.10,194.96K,0.00%
"Mar 07, 2022",155.00,157.60,157.70,154.70,102.81K,-0.96%
"Mar 06, 2022",156.50,157.00,158.60,156.00,12.66K,0.19%
"Mar 03, 2022",156.20,157.70,157.70,155.90,33.85K,-1.01%
"Mar 02, 2022",157.80,158.50,158.80,157.50,59.93K,-0.38%
