date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",218.70,220.90,220.90,218.20,333.10K,-0.82%
"Mar 28, 2022",220.50,220.00,222.20,220.00,484.56K,-0.18%
"Mar 27, 2022",220.90,218.50,222.20,218.50,682.72K,0.55%
"Mar 24, 2022",219.70,221.20,221.20,219.40,218.90K,-0.14%
"Mar 23, 2022",220.00,220.00,222.30,219.00,457.15K,0.00%
"Mar 22, 2022",220.00,216.10,220.50,216.00,765.48K,1.43%
"Mar 21, 2022",216.90,217.00,217.70,215.40,317.34K,0.18%
"Mar 20, 2022",216.50,217.20,218.90,216.10,123.57K,-0.64%
"Mar 16, 2022",217.90,217.10,218.50,217.10,128.10K,0.41%
"Mar 15, 2022",217.00,217.60,218.50,216.90,327.58K,-0.18%
"Mar 14, 2022",217.40,217.60,218.70,216.20,266.05K,0.00%
"Mar 13, 2022",217.40,214.90,218.20,214.70,167.03K,1.16%
"Mar 10, 2022",214.90,214.50,217.80,214.50,330.44K,0.42%
"Mar 09, 2022",214.00,215.80,216.40,211.90,379.68K,1.47%
"Mar 08, 2022",210.90,213.00,216.00,209.30,981.74K,-0.66%
"Mar 07, 2022",212.30,217.10,217.10,212.00,498.20K,-2.12%
"Mar 06, 2022",216.90,218.10,218.10,216.70,155.06K,-0.55%
"Mar 03, 2022",218.10,220.00,220.00,217.10,205.80K,-0.55%
"Mar 02, 2022",219.30,219.60,219.90,218.40,139.98K,-0.09%
