date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",38.60,39.20,39.60,38.50,426.71K,0.00%
"Mar 28, 2022",38.60,38.80,39.30,38.50,426.01K,-0.26%
"Mar 27, 2022",38.70,39.30,39.30,38.60,396.48K,-1.28%
"Mar 24, 2022",39.20,39.00,40.30,39.00,1.30M,1.03%
"Mar 23, 2022",38.80,38.80,39.00,38.60,513.17K,0.78%
"Mar 22, 2022",38.50,38.50,38.70,38.10,325.06K,1.32%
"Mar 21, 2022",38.00,38.10,38.40,37.90,221.86K,-0.26%
"Mar 20, 2022",38.10,38.50,38.60,37.80,277.98K,-0.26%
"Mar 16, 2022",38.20,38.50,38.80,38.00,543.12K,-0.78%
"Mar 15, 2022",38.50,38.70,38.90,38.20,364.71K,-0.77%
"Mar 14, 2022",38.80,39.60,39.60,38.60,492.15K,-1.27%
"Mar 13, 2022",39.30,38.50,39.50,38.00,481.57K,3.15%
"Mar 10, 2022",38.10,38.60,38.70,38.00,619.51K,-0.52%
"Mar 09, 2022",38.30,37.90,38.40,37.50,389.40K,1.86%
"Mar 08, 2022",37.60,37.20,38.00,36.20,569.53K,0.27%
"Mar 07, 2022",37.50,38.20,38.20,37.50,647.73K,-1.57%
"Mar 06, 2022",38.10,38.00,38.20,37.90,238.04K,0.00%
"Mar 03, 2022",38.10,38.10,38.20,37.50,374.29K,0.00%
"Mar 02, 2022",38.10,38.30,38.40,37.70,460.12K,-0.26%
