date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",41.60,39.70,42.40,39.70,1.89M,5.05%
"Mar 28, 2022",39.60,39.70,40.20,39.10,518.97K,0.76%
"Mar 27, 2022",39.30,39.60,40.00,39.20,350.16K,-0.76%
"Mar 24, 2022",39.60,40.10,40.40,39.40,451.16K,-1.00%
"Mar 23, 2022",40.00,40.80,40.80,39.80,936.65K,-1.48%
"Mar 22, 2022",40.60,40.40,41.50,40.10,553.44K,1.50%
"Mar 21, 2022",40.00,39.50,40.50,39.30,211.25K,1.01%
"Mar 20, 2022",39.60,40.30,40.30,39.40,584.62K,-1.49%
"Mar 16, 2022",40.20,41.30,41.30,40.10,273.49K,-0.99%
"Mar 15, 2022",40.60,41.10,41.40,40.30,391.90K,-0.49%
"Mar 14, 2022",40.80,41.00,41.60,40.60,471.62K,-1.21%
"Mar 13, 2022",41.30,40.60,41.80,40.10,596.97K,1.98%
"Mar 10, 2022",40.50,41.20,41.50,40.40,572.88K,-1.70%
"Mar 09, 2022",41.20,40.80,41.40,40.20,415.26K,3.00%
"Mar 08, 2022",40.00,39.40,40.50,37.70,520.48K,3.36%
"Mar 07, 2022",38.70,39.30,39.60,38.50,447.27K,-2.76%
"Mar 06, 2022",39.80,39.80,40.20,39.50,151.51K,0.25%
"Mar 03, 2022",39.70,39.60,40.60,39.10,199.61K,-0.50%
"Mar 02, 2022",39.90,40.80,40.80,39.50,367.92K,-1.48%
