date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",15.90,15.60,16.00,15.50,271.44K,1.27%
"Mar 28, 2022",15.70,15.60,15.80,15.50,90.19K,0.00%
"Mar 27, 2022",15.70,15.80,15.90,15.60,172.35K,-0.63%
"Mar 24, 2022",15.80,15.50,15.80,15.50,177.98K,1.94%
"Mar 23, 2022",15.50,15.60,15.70,15.50,121.15K,-1.27%
"Mar 22, 2022",15.70,15.60,16.00,15.50,502.17K,1.95%
"Mar 21, 2022",15.40,15.40,15.70,15.40,131.27K,-0.65%
"Mar 20, 2022",15.50,15.70,15.70,15.40,328.84K,-0.64%
"Mar 16, 2022",15.60,15.60,15.80,15.50,206.06K,0.00%
"Mar 15, 2022",15.60,15.40,15.80,15.40,234.23K,1.30%
"Mar 14, 2022",15.40,15.60,15.60,15.30,95.23K,-0.65%
"Mar 13, 2022",15.50,15.40,15.50,15.40,115.16K,1.31%
"Mar 10, 2022",15.30,15.20,15.40,15.10,268.81K,0.66%
"Mar 09, 2022",15.20,14.70,15.20,14.70,103.16K,2.70%
"Mar 08, 2022",14.80,14.80,15.10,14.40,725.99K,-1.33%
"Mar 07, 2022",15.00,15.50,15.50,14.90,583.27K,-1.32%
"Mar 06, 2022",15.20,15.20,15.50,15.10,144.24K,-1.30%
"Mar 03, 2022",15.40,15.40,15.50,15.20,95.30K,0.65%
"Mar 02, 2022",15.30,15.50,15.80,15.20,152.98K,-1.29%
