date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",60.10,59.40,60.60,59.40,621.58K,1.18%
"Mar 28, 2022",59.40,57.80,59.80,57.80,271.82K,1.89%
"Mar 27, 2022",58.30,57.90,58.80,57.90,134.74K,-0.34%
"Mar 24, 2022",58.50,58.00,59.60,58.00,156.75K,-0.68%
"Mar 23, 2022",58.90,60.30,60.80,58.70,179.55K,-1.51%
"Mar 22, 2022",59.80,59.50,60.50,58.80,346.42K,2.40%
"Mar 21, 2022",58.40,58.40,59.20,58.20,315.18K,-1.35%
"Mar 20, 2022",59.20,60.20,61.20,59.20,183.76K,-1.99%
"Mar 16, 2022",60.40,61.20,61.50,60.00,546.33K,0.17%
"Mar 15, 2022",60.30,58.20,61.30,58.00,877.15K,3.08%
"Mar 14, 2022",58.50,57.90,59.70,57.60,399.99K,1.04%
"Mar 13, 2022",57.90,56.50,58.10,56.10,403.39K,2.12%
"Mar 10, 2022",56.70,56.50,57.50,56.00,298.57K,-0.18%
"Mar 09, 2022",56.80,55.30,57.30,55.30,176.71K,2.53%
"Mar 08, 2022",55.40,55.70,56.10,54.60,256.39K,-1.25%
"Mar 07, 2022",56.10,56.90,57.50,55.70,220.61K,-1.23%
"Mar 06, 2022",56.80,56.50,57.30,56.20,211.64K,1.07%
"Mar 03, 2022",56.20,56.80,56.90,55.60,187.02K,-1.06%
"Mar 02, 2022",56.80,56.80,57.30,55.20,227.89K,0.00%
